Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_JavaTestProject,,,2018-02-14 12:47:41,2018-02-14 12:47:43,1.517s,PASSED
,,,,,,
Test Cases/TC01_Verify Service Uptime,,,2018-02-14 12:47:41,2018-02-14 12:47:43,1.131s,PASSED
comment,,,2018-02-14 12:47:42,2018-02-14 12:47:42,0.045s,PASSED
"Statement - url = ""http://lttech1550.safaricom.net:9090/status""",,,2018-02-14 12:47:42,2018-02-14 12:47:42,0.002s,PASSED
comment,,,2018-02-14 12:47:42,2018-02-14 12:47:42,0.003s,PASSED
Statement - ro = new com.kms.katalon.core.testobject.RequestObject(),,,2018-02-14 12:47:42,2018-02-14 12:47:42,0.012s,PASSED
comment,,,2018-02-14 12:47:42,2018-02-14 12:47:42,0.002s,PASSED
"Statement - ro.setRestRequestMethod(""GET"")",,,2018-02-14 12:47:42,2018-02-14 12:47:42,0.004s,PASSED
Statement - ro.setRestUrl(url),,,2018-02-14 12:47:42,2018-02-14 12:47:42,0.003s,PASSED
comment,,,2018-02-14 12:47:42,2018-02-14 12:47:42,0.005s,PASSED
Statement - resp = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(ro),,,2018-02-14 12:47:42,2018-02-14 12:47:43,0.469s,PASSED
comment,,,2018-02-14 12:47:43,2018-02-14 12:47:43,0.004s,PASSED
Statement - println(resp.getStatusCode()),,,2018-02-14 12:47:43,2018-02-14 12:47:43,0.010s,PASSED
verifyEqual,,,2018-02-14 12:47:43,2018-02-14 12:47:43,0.020s,PASSED
